epoch,accuracy,loss,val_accuracy,val_loss
0,0.31575000286102295,2.4491050243377686,0.42787501215934753,2.042419195175171
1,0.44106873869895935,2.026071786880493,0.4843437373638153,1.8592565059661865
2,0.485240638256073,1.895362138748169,0.5095624923706055,1.8034343719482422
3,0.5080562233924866,1.8269248008728027,0.5330937504768372,1.7383754253387451
4,0.5303124785423279,1.7753088474273682,0.5459374785423279,1.701836109161377
5,0.5471500158309937,1.733504295349121,0.5735312700271606,1.6562381982803345
6,0.5626000165939331,1.6956309080123901,0.5720624923706055,1.6458728313446045
7,0.5710812211036682,1.6754060983657837,0.5775625109672546,1.6290785074234009
8,0.5784875154495239,1.653334617614746,0.5892500281333923,1.602585792541504
9,0.5813375115394592,1.6423312425613403,0.5951562523841858,1.5910828113555908
10,0.5873531103134155,1.6233625411987305,0.6021875143051147,1.5756213665008545
11,0.592731237411499,1.6116626262664795,0.6020937561988831,1.5714755058288574
12,0.5975187420845032,1.6000406742095947,0.6014687418937683,1.5736876726150513
13,0.6023281216621399,1.5880749225616455,0.6135625243186951,1.538657784461975
14,0.6058655977249146,1.579384207725525,0.613406240940094,1.5440483093261719
15,0.6104531288146973,1.5661121606826782,0.6200312376022339,1.5334124565124512
16,0.6160625219345093,1.5560535192489624,0.6175000071525574,1.5361579656600952
17,0.6206874847412109,1.5485563278198242,0.6259999871253967,1.5123286247253418
18,0.6262249946594238,1.5373694896697998,0.6315937638282776,1.4992458820343018
19,0.629981279373169,1.5259355306625366,0.6312187314033508,1.4972851276397705
20,0.6329343914985657,1.5225138664245605,0.6410937309265137,1.4859942197799683
21,0.636537492275238,1.5140153169631958,0.640250027179718,1.4841687679290771
22,0.6376405954360962,1.510250210762024,0.640749990940094,1.4872465133666992
23,0.643971860408783,1.500360369682312,0.6458125114440918,1.4711312055587769
24,0.6447156071662903,1.4979363679885864,0.649093747138977,1.4641938209533691
25,0.6491093635559082,1.487421989440918,0.6539999842643738,1.4615609645843506
26,0.6522687673568726,1.4821234941482544,0.6617187261581421,1.4518458843231201
27,0.6555062532424927,1.4759418964385986,0.6586562395095825,1.4498499631881714
28,0.6582156419754028,1.4711860418319702,0.6551562547683716,1.455839991569519
29,0.6615656018257141,1.4651888608932495,0.6651562452316284,1.4410873651504517
30,0.6638156175613403,1.458816647529602,0.659500002861023,1.4472801685333252
31,0.6667812466621399,1.4542548656463623,0.663812518119812,1.4375054836273193
32,0.6695281267166138,1.449039101600647,0.6662499904632568,1.4341880083084106
33,0.6719655990600586,1.4446691274642944,0.6703437566757202,1.425514578819275
34,0.6744187474250793,1.4391546249389648,0.6706249713897705,1.43417489528656
35,0.677456259727478,1.4354726076126099,0.6753125190734863,1.4235196113586426
36,0.6794156432151794,1.4317079782485962,0.6796875,1.411460041999817
37,0.6804593801498413,1.4292640686035156,0.6649062633514404,1.4396412372589111
38,0.6824281215667725,1.4229835271835327,0.6831874847412109,1.4057502746582031
39,0.6861437559127808,1.4166996479034424,0.6772812604904175,1.4214485883712769
40,0.6873124837875366,1.4132459163665771,0.6874374747276306,1.4055259227752686
41,0.6902937293052673,1.410611867904663,0.676031231880188,1.4228730201721191
42,0.6898375153541565,1.4105181694030762,0.6811875104904175,1.401364803314209
43,0.6927250027656555,1.4028958082199097,0.6825312376022339,1.4000518321990967
44,0.6952593922615051,1.3987445831298828,0.6948750019073486,1.3830410242080688
45,0.6962124705314636,1.3961378335952759,0.6911875009536743,1.3914313316345215
46,0.6989156007766724,1.391510248184204,0.6927812695503235,1.3974225521087646
47,0.7013437747955322,1.38764488697052,0.6905312538146973,1.3918184041976929
48,0.7010625004768372,1.3852264881134033,0.6963437795639038,1.3858975172042847
49,0.7039155960083008,1.3817235231399536,0.6960625052452087,1.3833385705947876
