epoch,accuracy,loss,val_accuracy,val_loss
0,0.7400156259536743,1.3260939121246338,0.7196249961853027,1.3551442623138428
1,0.7519093751907349,1.2944786548614502,0.723031222820282,1.3490276336669922
2,0.7533281445503235,1.291392207145691,0.7209687232971191,1.3476693630218506
3,0.7550749778747559,1.2860735654830933,0.7228437662124634,1.3474780321121216
4,0.7578718662261963,1.2831120491027832,0.7176874876022339,1.3557724952697754
5,0.758706271648407,1.2793670892715454,0.7296562790870667,1.332509160041809
6,0.7590125203132629,1.2797127962112427,0.7268437743186951,1.339829444885254
7,0.7594093680381775,1.2772095203399658,0.7282187342643738,1.3390146493911743
8,0.7605375051498413,1.2753552198410034,0.7291562557220459,1.3396284580230713
9,0.7605562210083008,1.2783039808273315,0.7241250276565552,1.351576328277588
10,0.762806236743927,1.272883415222168,0.7235312461853027,1.3467520475387573
11,0.7632718682289124,1.270711898803711,0.7270937561988831,1.3439899682998657
0,0.7397906184196472,1.3259029388427734,0.7199687361717224,1.355013132095337
1,0.7516156435012817,1.2944974899291992,0.7213749885559082,1.349825143814087
2,0.7535250186920166,1.2912861108779907,0.7210937738418579,1.3479242324829102
3,0.7547031044960022,1.2860933542251587,0.7228437662124634,1.347931146621704
4,0.7577999830245972,1.2829337120056152,0.7188125252723694,1.355718970298767
5,0.7592468857765198,1.2792048454284668,0.7292187213897705,1.3334197998046875
6,0.7593500018119812,1.2794196605682373,0.7266250252723694,1.3403077125549316
7,0.7591937780380249,1.2772927284240723,0.7272812724113464,1.3393664360046387
8,0.7612375020980835,1.2749420404434204,0.7295937538146973,1.3392908573150635
9,0.7608187794685364,1.2782663106918335,0.723437488079071,1.352611780166626
10,0.7621906399726868,1.2732994556427002,0.7247187495231628,1.3455802202224731
11,0.7635156512260437,1.2710059881210327,0.7273749709129333,1.345064640045166
12,0.7633093595504761,1.2705308198928833,0.7204687595367432,1.3497202396392822
13,0.7652062773704529,1.2686939239501953,0.7282500267028809,1.3378801345825195
14,0.7657312750816345,1.2664726972579956,0.7254062294960022,1.3504173755645752
15,0.7656656503677368,1.2666252851486206,0.7241874933242798,1.3497613668441772
