epoch,accuracy,loss,val_accuracy,val_loss
0,0.2804875075817108,2.576568603515625,0.3245624899864197,2.300804615020752
1,0.3231000006198883,2.3162426948547363,0.331906259059906,2.2516324520111084
2,0.33109375834465027,2.2767138481140137,0.33984375,2.220613718032837
3,0.3370343744754791,2.252415180206299,0.34468749165534973,2.213959217071533
4,0.34130623936653137,2.234964609146118,0.3473125100135803,2.1945197582244873
5,0.34485313296318054,2.225031614303589,0.3531875014305115,2.186946392059326
6,0.3464437425136566,2.215047836303711,0.355531245470047,2.179286003112793
7,0.35017499327659607,2.210031747817993,0.3569062352180481,2.1731462478637695
8,0.3505312502384186,2.2041144371032715,0.35350000858306885,2.1771585941314697
9,0.3522406220436096,2.196990728378296,0.3617187440395355,2.1650774478912354
10,0.3542124927043915,2.192347526550293,0.3592187464237213,2.158726215362549
11,0.35612186789512634,2.1889493465423584,0.3630312383174896,2.1590967178344727
12,0.3543187379837036,2.1861491203308105,0.3646875023841858,2.155141830444336
13,0.3568093776702881,2.182554006576538,0.3618125021457672,2.1585278511047363
14,0.3566843867301941,2.1820778846740723,0.36121875047683716,2.1518049240112305
15,0.3584718704223633,2.181137800216675,0.3630000054836273,2.150597095489502
16,0.3588343858718872,2.1789913177490234,0.363468736410141,2.1490466594696045
17,0.35890623927116394,2.178809881210327,0.36243748664855957,2.1622583866119385
18,0.3607218861579895,2.1821017265319824,0.36262500286102295,2.1546716690063477
19,0.35914063453674316,2.186039447784424,0.3632499873638153,2.1562514305114746
20,0.3587031364440918,2.189793586730957,0.3683750033378601,2.1590771675109863
21,0.35917186737060547,2.197784185409546,0.3645937442779541,2.1660454273223877
22,0.3597187399864197,2.2033779621124268,0.355281263589859,2.178086996078491
23,0.3589000105857849,2.214766025543213,0.36528125405311584,2.172482490539551
24,0.35945311188697815,2.224386215209961,0.3630312383174896,2.17470645904541
25,0.35955938696861267,2.237619161605835,0.3648749887943268,2.167356252670288
26,0.35976874828338623,2.251723527908325,0.3620312511920929,2.1771225929260254
27,0.35804998874664307,2.2732133865356445,0.35890623927116394,2.1935768127441406
28,0.35795000195503235,2.289182424545288,0.36037498712539673,2.191793203353882
